Store_ID,State,Year,Sales,Customer_Count,Employees,Store_Area_sqft,Profit_Margin,Store_Type
NY2021_1,KY,2023,54624,2161,39,1788,0.20647879034255168,Urban
OH2021_2,KY,2023,58185,3761,46,2338,0.2525212987600868,Urban
OH2021_3,KY,2023,176485,1902,41,5591,0.23665435689788794,Rural
OH2021_4,KY,2023,140206,1344,26,5499,0.09300945837674991,Suburban
OH2021_5,KY,2023,137613,5089,24,3459,0.2847499140981245,Suburban
OH2021_6,KY,2023,179365,3847,8,1737,0.19667844847944496,Urban
OG2021_7,KY,2023,91153,2162,14,1773,0.30198159873387204,Suburban
OH2021_8,KY,2023,168014,1881,7,8492,0.18333370836922896,Rural
OH2021_9,KY,2023,48510,1381,35,8152,0.2585895204262477,Suburban
OH2021_10,KY,2023,121248,4157,46,9042,0.14884819352136414,Suburban
