Store_ID,State,Year,Sales,Customer_Count,Employees,Store_Area_sqft,Profit_Margin,Store_Type
NY2021_1,OH,2022,65036,2014,40,1788,0.1837705512038585,Urban
OH2021_2,OH,2022,70171,3542,45,2338,0.19534582682479676,Urban
OH2021_3,OH,2022,213492,1781,41,5591,0.20170910096383937,Rural
OH2021_4,OH,2022,169270,1245,26,5499,0.06946366946697739,Suburban
OH2021_5,OH,2022,171252,4935,24,3459,0.25129414271015715,Suburban
OH2021_6,OH,2022,215928,3405,8,1737,0.16152933645738454,Urban
OG2021_7,OH,2022,108465,1954,14,1773,0.24764967220507253,Suburban
OH2021_8,OH,2022,206316,1712,7,8492,0.13056463969057083,Rural
OH2021_9,OH,2022,57542,1328,35,8152,0.20426047629591088,Suburban
OH2021_10,OH,2022,139261,3964,45,9042,0.131044357831884,Suburban
