Store_ID,State,Year,Sales,Customer_Count,Employees,Store_Area_sqft,Profit_Margin,Store_Type
NY2021_1,KY,2022,57135,2132,39,1788,0.189868493126261,Urban
OH2021_2,KY,2022,60345,3592,46,2338,0.21995537027120543,Urban
OH2021_3,KY,2022,183305,1849,41,5591,0.19950216657246356,Rural
OH2021_4,KY,2022,146927,1283,26,5499,0.07358745125202279,Suburban
OH2021_5,KY,2022,144524,5004,24,3459,0.2732981623900799,Suburban
OH2021_6,KY,2022,187491,3666,8,1737,0.17891645875323778,Urban
OG2021_7,KY,2022,94825,2114,14,1773,0.26314862240880155,Suburban
OH2021_8,KY,2022,176453,1808,7,8492,0.15862339031555306,Rural
OH2021_9,KY,2022,50311,1343,35,8152,0.21985101335549526,Suburban
OH2021_10,KY,2022,125452,3993,45,9042,0.1347770116314469,Suburban
