Store_ID,State,Year,Sales,Customer_Count,Employees,Store_Area_sqft,Profit_Margin,Store_Type
PA2021_1,PA,2022,201446,1321,28,2185,0.2549622133446659,Suburban
PA2021_2,PA,2022,114810,4507,6,6232,0.1955181288129922,Rural
PA2021_3,PA,2022,161867,2481,37,8341,0.17211577323378194,Urban
PA2021_4,PA,2022,104965,3944,38,3069,0.1397851622966224,Rural
PA2021_5,PA,2022,174596,4913,39,4966,0.23340158830156485,Urban
PA2021_6,PA,2022,62843,1890,41,3992,0.24407629436513648,Urban
PA2021_7,PA,2022,136889,2705,7,5545,0.151605215696168,Rural
PA2021_8,PA,2022,58103,2750,48,4900,0.20678771990443015,Urban
PA2021_9,PA,2022,57106,3686,31,1137,0.10476547515808297,Urban
PA2021_10,PA,2022,198092,1596,35,8516,0.08485795683643367,Rural
