Store_ID,State,Year,Sales,Customer_Count,Employees,Store_Area_sqft,Profit_Margin,Store_Type
PA2021_1,PA,2023,222292,1346,28,2185,0.26942289671032954,Suburban
PA2021_2,PA,2023,127063,4603,6,6232,0.2057578149634723,Rural
PA2021_3,PA,2023,183567,2586,37,8341,0.17319016693823458,Urban
PA2021_4,PA,2023,116044,4065,38,3069,0.14458553059214915,Rural
PA2021_5,PA,2023,193565,4946,39,4966,0.2500789327355665,Urban
PA2021_6,PA,2023,68607,1905,41,3992,0.2451930823509299,Urban
PA2021_7,PA,2023,154020,2817,7,5545,0.16462048423200515,Rural
PA2021_8,PA,2023,63852,2766,48,4900,0.20852344039825804,Urban
PA2021_9,PA,2023,65008,3799,31,1137,0.12340402441502882,Urban
PA2021_10,PA,2023,221618,1675,35,8516,0.10307891098801508,Rural
