Store_ID,State,Year,Sales,Customer_Count,Employees,Store_Area_sqft,Profit_Margin,Store_Type
NY2021_1,KY,2021,60127,2064,39,1788,0.18184457034016063,Urban
OH2021_2,KY,2021,63097,3526,45,2338,0.19847072841085048,Urban
OH2021_3,KY,2021,192359,1791,41,5591,0.19066358004298695,Rural
OH2021_4,KY,2021,153471,1239,26,5499,0.06346241927372376,Suburban
OH2021_5,KY,2021,151949,4984,24,3459,0.24606023821487974,Suburban
OH2021_6,KY,2021,193611,3492,8,1737,0.1536860780206625,Urban
OG2021_7,KY,2021,98086,2025,14,1773,0.24574189352145734,Suburban
OH2021_8,KY,2021,184969,1744,7,8492,0.12997103783223996,Rural
OH2021_9,KY,2021,52043,1315,35,8152,0.20485211357781236,Suburban
OH2021_10,KY,2021,130429,3930,45,9042,0.13154801296444465,Suburban
