Store_ID,State,Year,Sales,Customer_Count,Employees,Store_Area_sqft,Profit_Margin,Store_Type
NY2021_1,OH,2021,58564,1978,39,1788,0.174,Urban
OH2021_2,OH,2021,62281,3399,45,2338,0.188,Urban
OH2021_3,OH,2021,191685,1757,41,5591,0.19,Rural
OH2021_4,OH,2021,151027,1196,26,5499,0.061,Suburban
OH2021_5,OH,2021,151811,4779,24,3459,0.246,Suburban
OH2021_6,OH,2021,193075,3341,8,1737,0.153,Urban
OG2021_7,OH,2021,97579,1953,14,1773,0.234,Suburban
OH2021_8,OH,2021,183654,1672,7,8492,0.123,Rural
OH2021_9,OH,2021,51156,1290,35,8152,0.2,Suburban
OH2021_10,OH,2021,125583,3787,45,9042,0.123,Suburban
